"Date","Market Cap"
"1998-11-30",3414800000
"1998-12-01",3923800000
"1998-12-02",4431200000
"1998-12-03",4584000000
"1998-12-06",4665300000
"1998-12-07",4715700000
"1998-12-08",4533600000
"1998-12-09",4371000000
"1998-12-10",4237700000
"1998-12-13",4086400000
"1998-12-14",4289700000
"1998-12-15",4249000000
"1998-12-16",4411700000
"1998-12-17",4533600000
"1998-12-20",4584000000
"1998-12-21",4584000000
"1998-12-22",4756400000
"1998-12-23",4706000000
"1998-12-27",4725500000
"1998-12-28",4715700000
"1998-12-29",4878400000
"1998-12-30",5102800000
"1999-01-03",4899500000
"1999-01-04",5041000000
"1999-01-05",5162900000
"1999-01-06",5041000000
"1999-01-07",4888100000
"1999-01-10",4878400000
"1999-01-11",4696200000
"1999-01-12",4715700000
"1999-01-13",4574300000
"1999-01-14",4797100000
"1999-01-18",4746600000
"1999-01-19",4959700000
"1999-01-20",4827900000
"1999-01-21",4675100000
"1999-01-24",4634400000
"1999-01-25",4818200000
"1999-01-26",4746600000
"1999-01-27",4777100000
"1999-01-28",4777100000
"1999-01-31",4798000000
"1999-02-01",4517000000
"1999-02-02",5440300000
"1999-02-03",5199500000
"1999-02-04",4958600000
"1999-02-07",5018000000
"1999-02-08",4958600000
"1999-02-09",4706500000
"1999-02-10",4968200000
"1999-02-11",4907200000
"1999-02-15",4958600000
"1999-02-16",4647100000
"1999-02-17",4746600000
"1999-02-18",4656700000
"1999-02-21",4737000000
"1999-02-22",4586100000
"1999-02-23",4557200000
"1999-02-24",4345200000
"1999-02-25",4024000000
"1999-02-28",4134800000
"1999-03-01",4104300000
"1999-03-02",4195899999.9999995
"1999-03-03",4155700000
"1999-03-04",4215100000.0000005
"1999-03-07",4476900000
"1999-03-08",4356400000
"1999-03-09",4415900000
"1999-03-10",4285800000
"1999-03-11",4094700000
"1999-03-14",4215899999.9999995
"1999-03-15",4427300000
"1999-03-16",4377300000
"1999-03-17",4619300000
"1999-03-18",4669300000
"1999-03-21",4498300000
"1999-03-22",4356300000
"1999-03-23",4558000000
"1999-03-24",4719300000
"1999-03-25",4679000000
"1999-03-28",4871000000
"1999-03-29",4840300000
"1999-03-30",4800000000
"1999-03-31",5113000000
"1999-04-04",5455100000
"1999-04-05",5547000000
"1999-04-06",5324400000
"1999-04-07",5385700000
"1999-04-08",5647100000
