"Date","Market Cap"
"1998-11-30",4226000000
"1998-12-01",4143500000
"1998-12-02",4270899999.9999995
"1998-12-03",4543000000
"1998-12-06",4560400000
"1998-12-07",4632800000
"1998-12-08",4479300000
"1998-12-09",4307000000
"1998-12-10",4370800000
"1998-12-13",4134800000
"1998-12-14",4162300000
"1998-12-15",3972600000
"1998-12-16",4053700000
"1998-12-17",4062400000
"1998-12-20",4181100000.0000005
"1998-12-21",4162300000
"1998-12-22",4008800000
"1998-12-23",4053700000
"1998-12-27",3953800000
"1998-12-28",3981300000
"1998-12-29",4217300000
"1998-12-30",4198500000
"1999-01-03",4053700000
"1999-01-04",4008800000
"1999-01-05",3945100000
"1999-01-06",3972600000
"1999-01-07",4053700000
"1999-01-10",4615400000
"1999-01-11",4560400000
"1999-01-12",4017500000
"1999-01-13",3257400000
"1999-01-14",3240100000
"1999-01-18",3203900000
"1999-01-19",3185000000
"1999-01-20",3040300000
"1999-01-21",3121300000
"1999-01-24",3104000000
"1999-01-25",3185000000
"1999-01-26",3076500000
"1999-01-27",3312400000
"1999-01-28",3321100000
"1999-01-31",3602000000
"1999-02-01",3519500000
"1999-02-02",3031600000
"1999-02-03",2742000000
"1999-02-04",2433700000
"1999-02-07",2480000000
"1999-02-08",2425000000
"1999-02-09",2407600000
"1999-02-10",2488700000
"1999-02-11",2542200000
"1999-02-15",2469900000
"1999-02-16",2461200000
"1999-02-17",2480000000
"1999-02-18",2552400000
"1999-02-21",2795600000
"1999-02-22",2714500000
"1999-02-23",2687000000
"1999-02-24",2624800000
"1999-02-25",2588600000
"1999-02-28",2650800000
"1999-03-01",2678300000
"1999-03-02",2624800000
"1999-03-03",2678300000
"1999-03-04",2669600000
"1999-03-07",2742000000
"1999-03-08",2533600000
"1999-03-09",2516200000
"1999-03-10",2461200000
"1999-03-11",2388800000
"1999-03-14",2361300000
"1999-03-15",2461200000
"1999-03-16",2443800000
"1999-03-17",2397500000
"1999-03-18",2325100000
"1999-03-21",2325100000
"1999-03-22",2271500000
"1999-03-23",2280200000
"1999-03-24",2335200000
"1999-03-25",2316400000
"1999-03-28",2321000000
"1999-03-29",2302000000
"1999-03-30",2265500000
"1999-03-31",2284500000
"1999-04-04",2293300000
"1999-04-05",2302000000
"1999-04-06",2366400000
"1999-04-07",2274300000
"1999-04-08",2284500000
"1999-04-11",2201200000
"1999-04-12",2192400000
"1999-04-13",2155900000
"1999-04-14",2394100000
"1999-04-15",2394100000
"1999-04-18",2329800000
"1999-04-19",2338600000
"1999-04-20",2457000000
"1999-04-21",2476000000
"1999-04-22",2503700000
"1999-04-25",2448200000
"1999-04-26",2439400000
"1999-04-27",2394100000
"1999-04-28",2411700000
"1999-04-29",2411700000
"1999-05-02",2402900000
"1999-05-03",2430700000
"1999-05-04",2530100000
"1999-05-05",2530100000
"1999-05-06",2576800000
"1999-05-09",2731800000
"1999-05-10",2850200000
"1999-05-11",2858400000
"1999-05-12",2684000000
"1999-05-13",2748500000
"1999-05-16",2767500000
"1999-05-17",2840800000
"1999-05-18",3170600000
"1999-05-19",2987400000
"1999-05-20",3005000000
"1999-05-23",2793900000
"1999-05-24",2703000000
"1999-05-25",2830600000
"1999-05-26",2767500000
"1999-05-27",2711800000
"1999-05-31",2720600000
"1999-06-01",2711800000
"1999-06-02",2610700000
"1999-06-03",2629700000
"1999-06-06",2629700000
"1999-06-07",2593100000
"1999-06-08",2556400000
"1999-06-09",2547600000
"1999-06-10",2455300000
"1999-06-13",2483100000
"1999-06-14",2684000000
"1999-06-15",2675200000
"1999-06-16",2694200000
"1999-06-17",2748500000
"1999-06-20",2813000000
"1999-06-21",2821800000
"1999-06-22",2666400000
"1999-06-23",2500700000
"1999-06-24",2528600000
"1999-06-27",2511000000
"1999-06-28",2647300000
"1999-06-29",2647300000
"1999-06-30",2547600000
"1999-07-01",2519800000
"1999-07-05",2511000000
"1999-07-06",2474400000
"1999-07-07",2547600000
"1999-07-08",2491900000
"1999-07-11",2547600000
"1999-07-12",2500700000
"1999-07-13",2638500000
"1999-07-14",2593100000
"1999-07-15",2574000000
"1999-07-18",2537400000
"1999-07-19",2455300000
"1999-07-20",2491900000
"1999-07-21",2390800000
"1999-07-22",2364400000
"1999-07-25",2401100000
"1999-07-26",2427400000
"1999-07-27",2464100000
"1999-07-28",2565200000
"1999-07-29",2547600000
"1999-08-01",2491900000
"1999-08-02",2437700000
"1999-08-03",2390800000
"1999-08-04",2364400000
"1999-08-05",2558500000
"1999-08-08",2833800000
"1999-08-09",2714600000
"1999-08-10",2788200000
"1999-08-11",2723400000
"1999-08-12",2788200000
"1999-08-15",2760200000
"1999-08-16",2742500000
"1999-08-17",2732200000
"1999-08-18",2668900000
"1999-08-19",2658600000
"1999-08-22",2825000000
"1999-08-23",2742500000
"1999-08-24",2797000000
