"Date","Market Cap"
"2023-09-13",54468045900
"2023-09-14",62334300000
"2023-09-17",59512600000
"2023-09-18",56608800000
"2023-09-19",54289800000
"2023-09-20",53520300000
"2023-09-21",52658400000
"2023-09-24",55859700000
"2023-09-25",54915700000
"2023-09-26",54371900000
"2023-09-27",56937100000
"2023-09-28",54915700000
"2023-10-01",53622900000
"2023-10-02",52914900000
"2023-10-03",54854200000
"2023-10-04",53879400000
"2023-10-05",55490300000
"2023-10-08",55664800000
"2023-10-09",57162900000
"2023-10-10",56106000000
"2023-10-11",53202200000
"2023-10-12",52104300000
"2023-10-15",53448400000
"2023-10-16",53653700000
"2023-10-17",53253500000
"2023-10-18",51037200000
"2023-10-19",49118400000
"2023-10-22",51519400000
"2023-10-23",53735800000
"2023-10-24",50729300000
"2023-10-25",51478400000
"2023-10-26",50370200000
"2023-10-29",49149200000
"2023-10-30",50575400000
"2023-10-31",51837500000
"2023-11-01",54197500000
"2023-11-02",54885000000
"2023-11-05",54484800000
"2023-11-06",56711400000
"2023-11-07",55818700000
"2023-11-08",52925100000
"2023-11-09",53633100000
"2023-11-12",53038000000
"2023-11-13",54823400000
"2023-11-14",56875600000
"2023-11-15",55644300000
"2023-11-16",56424100000
"2023-11-19",60210300000
"2023-11-20",60189800000
"2023-11-21",63370600000
"2023-11-23",65545899999.99999
"2023-11-26",62590800000
"2023-11-27",63534800000
"2023-11-28",63832400000
"2023-11-29",63103900000
"2023-11-30",65566399999.99999
"2023-12-03",63545100000
"2023-12-04",65248400000
"2023-12-05",62652400000
"2023-12-06",64068400000
"2023-12-07",68983300000
"2023-12-10",66582300000
"2023-12-11",66397600000.00001
"2023-12-12",67321000000
"2023-12-13",72579700000
"2023-12-14",72882400000
"2023-12-17",70666100000
"2023-12-18",71240700000
"2023-12-19",70183800000
"2023-12-20",73056800000
"2023-12-21",74175200000
"2023-12-25",75324400000
"2023-12-26",76186400000
"2023-12-27",79490300000
"2023-12-28",77104700000
"2024-01-01",70717400000
"2024-01-02",69681000000
"2024-01-03",70173500000
"2024-01-04",68798600000
"2024-01-07",74739600000
"2024-01-08",73754500000
"2024-01-09",72615600000
"2024-01-10",71589500000
"2024-01-11",71825500000
"2024-01-15",70265900000
"2024-01-16",71681900000
"2024-01-17",76165800000
"2024-01-18",80629300000
"2024-01-21",79120900000
"2024-01-22",78341100000
"2024-01-23",77715200000
"2024-01-24",75837500000
"2024-01-25",73026000000
"2024-01-28",74831900000
"2024-01-29",73846900000
"2024-01-30",72513000000
"2024-01-31",72359100000
"2024-02-01",72851600000
"2024-02-04",75180800000
"2024-02-05",74883200000
"2024-02-06",79172100000
"2024-02-07",117087500000
"2024-02-08",118444600000
"2024-02-11",153152400000
"2024-02-12",123348500000
"2024-02-13",129948700000
"2024-02-14",137433100000
"2024-02-15",131943200000.00002
"2024-02-19",125188700000
"2024-02-20",126854200000
"2024-02-21",132138500000
"2024-02-22",137083600000
"2024-02-25",150304600000
"2024-02-26",141823000000
"2024-02-27",137618200000
"2024-02-28",144999700000
"2024-02-29",145596000000
"2024-03-03",141884700000
"2024-03-04",137834100000
"2024-03-05",140836000000
"2024-03-06",144804400000
"2024-03-07",135171299999.99998
"2024-03-10",130298300000
"2024-03-11",133135799999.99998
"2024-03-12",134955500000
"2024-03-13",134636700000.00002
"2024-03-14",130534700000
"2024-03-17",133392799999.99998
"2024-03-18",128087900000
"2024-03-19",135017100000
"2024-03-20",137350900000
"2024-03-21",137916300000
"2024-03-24",142193100000
"2024-03-25",131552500000
"2024-03-26",129146800000
"2024-03-27",128499100000
"2024-03-31",130473000000
"2024-04-01",127769200000
"2024-04-02",128828100000
"2024-04-03",125435500000
"2024-04-04",128324400000
"2024-04-07",132878700000.00002
"2024-04-08",130370200000
"2024-04-09",128694500000
"2024-04-10",134811500000
"2024-04-11",129876800000
"2024-04-14",125754200000
"2024-04-15",125651400000
"2024-04-16",110579800000
"2024-04-17",107865700000
"2024-04-18",89637900000
"2024-04-21",95724100000
"2024-04-22",98736400000
"2024-04-23",102684200000
"2024-04-24",100679400000
"2024-04-25",104812300000
"2024-04-28",106138500000
"2024-04-29",104051500000
"2024-04-30",97965300000
"2024-05-01",100751400000
"2024-05-02",104555300000
"2024-05-05",109983500000
"2024-05-06",110826500000
"2024-05-07",110347900000
"2024-05-08",107767800000
"2024-05-09",113229600000
"2024-05-12",121957900000
"2024-05-13",121354600000
"2024-05-14",118254400000
"2024-05-15",118878600000
"2024-05-16",114800500000
"2024-05-19",114914900000
"2024-05-20",119398700000
"2024-05-21",116964400000
"2024-05-22",117068400000
"2024-05-23",119263500000
"2024-05-27",129978900000
"2024-05-28",125515900000
"2024-05-29",125599100000
"2024-05-30",125380600000
"2024-06-02",132246799999.99998
"2024-06-03",130936000000
"2024-06-04",142182000000
"2024-06-05",142655300000
"2024-06-06",142077900000
"2024-06-09",145552600000
"2024-06-10",149724400000
"2024-06-11",161865000000
"2024-06-12",164424200000
"2024-06-13",164257800000
"2024-06-16",166754600000
"2024-06-17",181152700000
"2024-06-19",167253900000
"2024-06-20",166765000000
"2024-06-23",157162700000
"2024-06-24",167087500000
"2024-06-25",171363200000
"2024-06-26",173667600000
"2024-06-27",170218900000
"2024-06-30",165235700000
"2024-07-01",170052400000
"2024-07-02",175025200000
"2024-07-04",188497500000
"2024-07-07",192149000000
"2024-07-08",189631400000
"2024-07-09",193980000000
"2024-07-10",180174800000
"2024-07-11",188487100000
"2024-07-14",184689900000
"2024-07-15",185979900000
"2024-07-16",168221400000
"2024-07-17",164715500000
"2024-07-18",169990000000
"2024-07-21",170146100000
"2024-07-22",178624700000
