"Date","Market Cap"
"2009-08-05",3814200000
"2009-08-06",3873200000
"2009-08-09",3764700000
"2009-08-10",3694000000
"2009-08-11",3771800000
"2009-08-12",3901400000
"2009-08-13",3913200000
"2009-08-16",3823700000
"2009-08-17",4024000000
"2009-08-18",4217300000
"2009-08-19",4186700000
"2009-08-20",4200800000
"2009-08-23",4125399999.9999995
"2009-08-24",4207899999.9999995
"2009-08-25",4207899999.9999995
"2009-08-26",4281000000
"2009-08-27",4354100000
"2009-08-30",4290399999.9999995
"2009-08-31",4207899999.9999995
"2009-09-01",4167800000
"2009-09-02",4113600000.0000005
"2009-09-03",4186700000
"2009-09-07",4172500000
"2009-09-08",4068800000
"2009-09-09",4019300000
"2009-09-10",3979200000
"2009-09-13",3925000000
"2009-09-14",4050000000
"2009-09-15",4144300000
"2009-09-16",3922700000
"2009-09-17",3818900000
"2009-09-20",3915600000
"2009-09-21",4066500000
"2009-09-22",4101800000
"2009-09-23",4123000000
"2009-09-24",4038200000
"2009-09-27",4160800000
"2009-09-28",4014600000
"2009-09-29",4024000000
"2009-09-30",3844900000
"2009-10-01",3793000000
"2009-10-04",3887300000
"2009-10-05",3882600000
"2009-10-06",3802400000
"2009-10-07",3774100000
"2009-10-08",3830700000
"2009-10-11",3851900000
"2009-10-12",3896700000
"2009-10-13",3974500000
"2009-10-14",4045200000
"2009-10-15",3873200000
"2009-10-18",3828400000
"2009-10-19",3896700000
"2009-10-20",3887300000
"2009-10-21",3837800000
"2009-10-22",3783600000
"2009-10-25",3734100000
"2009-10-26",3642100000
"2009-10-27",3519600000
"2009-10-28",3545500000
"2009-10-29",3536100000
"2009-11-01",3505400000
"2009-11-02",3415800000
"2009-11-03",3484200000
"2009-11-04",3611500000
"2009-11-05",3604400000
"2009-11-08",3691600000
"2009-11-09",3642100000
"2009-11-10",3620900000
"2009-11-11",3677500000
"2009-11-12",3672800000
"2009-11-15",3774100000
"2009-11-16",3788300000
"2009-11-17",3778900000
"2009-11-18",3670400000
"2009-11-19",3639800000
"2009-11-22",3580800000
"2009-11-23",3597300000
"2009-11-24",3653900000
"2009-11-26",3738800000
"2009-11-29",3738800000
"2009-11-30",3762400000
"2009-12-01",3679900000
"2009-12-02",3755300000
"2009-12-03",3894400000
"2009-12-06",3976900000
"2009-12-07",3948600000
"2009-12-08",3962700000
"2009-12-09",3953300000
"2009-12-10",3908500000
"2009-12-13",3972200000
"2009-12-14",3940500000
"2009-12-15",4001700000
"2009-12-16",3839300000
"2009-12-17",3858100000
"2009-12-20",3881600000
"2009-12-21",3938100000
"2009-12-22",3949900000
"2009-12-23",3949900000
"2009-12-27",4091100000
"2009-12-28",4126399999.9999995
"2009-12-29",4164100000.0000005
"2009-12-30",4305300000
"2010-01-03",4439500000
"2010-01-04",4472500000
"2010-01-05",4507800000
"2010-01-06",4479500000
"2010-01-07",4512500000
"2010-01-10",4540700000
"2010-01-11",4472500000
"2010-01-12",4335900000
"2010-01-13",4338300000
"2010-01-14",4293600000.0000005
"2010-01-18",4192300000
"2010-01-19",4227700000
"2010-01-20",4232399999.9999995
"2010-01-21",4133500000
"2010-01-24",4154700000
"2010-01-25",4180600000.0000005
"2010-01-26",4098200000
"2010-01-27",4171200000
"2010-01-28",4091100000
"2010-01-31",4119399999.9999995
"2010-02-01",4166500000
"2010-02-02",4147600000.0000005
"2010-02-03",4053500000
"2010-02-04",4048800000
"2010-02-07",4004000000
"2010-02-08",3999300000
"2010-02-09",3954600000
"2010-02-10",4032300000
"2010-02-11",4086400000
"2010-02-15",4114700000
"2010-02-16",4098200000
"2010-02-17",4107600000.0000005
"2010-02-18",4126399999.9999995
"2010-02-21",4084100000
"2010-02-22",4091100000
"2010-02-23",4175899999.9999995
"2010-02-24",4258300000
"2010-02-25",4272399999.9999995
"2010-02-28",4307700000
"2010-03-01",4406600000
"2010-03-02",4451300000
"2010-03-03",4530300000
"2010-03-04",4601600000
"2010-03-07",4589800000
"2010-03-08",4599300000
"2010-03-09",4692000000
"2010-03-10",4720500000
"2010-03-11",4670600000
"2010-03-14",4615900000
"2010-03-15",4634900000
"2010-03-16",4727600000
"2010-03-17",4749000000
"2010-03-18",4779900000
"2010-03-21",4739500000
"2010-03-22",4806000000
"2010-03-23",4663400000
"2010-03-24",4670600000
"2010-03-25",4732400000
"2010-03-28",4806000000
"2010-03-29",4844100000
"2010-03-30",4886900000
"2010-03-31",4872600000
"2010-04-04",4815600000
"2010-04-05",4915400000
"2010-04-06",4867800000
"2010-04-07",4777500000
"2010-04-08",4756100000
"2010-04-11",4758500000
"2010-04-12",4789400000
"2010-04-13",5122200000
"2010-04-14",5219600000
"2010-04-15",5200600000
"2010-04-18",5205400000
"2010-04-19",5317100000
"2010-04-20",5191100000
"2010-04-21",5117400000
"2010-04-22",5107900000
"2010-04-25",5179200000
"2010-04-26",4991400000
"2010-04-27",4993800000
"2010-04-28",5086500000
"2010-04-29",4875000000
"2010-05-02",5020000000
"2010-05-03",4765600000
"2010-05-04",4656300000
"2010-05-05",4563600000
"2010-05-06",4585000000
"2010-05-09",4929600000
"2010-05-10",4910600000
"2010-05-11",4924900000
"2010-05-12",4863100000
"2010-05-13",4808400000
"2010-05-16",4877400000
"2010-05-17",4772800000
"2010-05-18",4758500000
"2010-05-19",4777500000
"2010-05-20",4708600000
"2010-05-23",4608800000
"2010-05-24",4570700000
"2010-05-25",4758500000
"2010-05-26",5072300000
"2010-05-27",4908300000
"2010-05-31",4846500000
"2010-06-01",5017600000
"2010-06-02",5168600000
"2010-06-03",4965700000
"2010-06-06",4956200000
"2010-06-07",5032500000
"2010-06-08",5027800000
"2010-06-09",5202000000
"2010-06-10",5233000000
"2010-06-13",5132800000
"2010-06-14",5309300000
"2010-06-15",5459700000
"2010-06-16",5571800000
"2010-06-17",5497900000
"2010-06-20",5485900000
"2010-06-21",5311700000
"2010-06-22",5378500000
"2010-06-23",5068300000
"2010-06-24",5123200000
"2010-06-27",5190000000
"2010-06-28",5003900000
"2010-06-29",5025400000
"2010-06-30",5108900000
"2010-07-01",5147100000
"2010-07-05",4980000000
"2010-07-06",5170900000
"2010-07-07",5199600000
"2010-07-08",5252100000
"2010-07-11",5273500000
"2010-07-12",5364200000
"2010-07-13",5318900000
"2010-07-14",5466800000
"2010-07-15",5247300000
"2010-07-18",5314100000
"2010-07-19",5249700000
"2010-07-20",5194800000
"2010-07-21",5452500000
"2010-07-22",5459700000
"2010-07-25",5440600000
"2010-07-26",5349900000
"2010-07-27",5202000000
"2010-07-28",5194800000
"2010-07-29",5192400000
"2010-08-01",5209100000
"2010-08-02",5154200000
"2010-08-03",5330800000
"2010-08-04",5426300000
"2010-08-05",5390500000
"2010-08-08",5464400000
"2010-08-09",5321300000
"2010-08-10",4827300000
"2010-08-11",4870300000
"2010-08-12",4770100000
"2010-08-15",4836900000
"2010-08-16",4860700000
"2010-08-17",4951400000
"2010-08-18",4894100000
"2010-08-19",4875000000
"2010-08-22",4867900000
"2010-08-23",4829700000
"2010-08-24",4841600000
"2010-08-25",4915600000
"2010-08-26",4846400000
"2010-08-29",4772400000
"2010-08-30",4808200000
"2010-08-31",5011100000
"2010-09-01",5038600000
"2010-09-02",5021900000
"2010-09-06",4926100000
"2010-09-07",4806500000
"2010-09-08",4708300000
"2010-09-09",4464200000
"2010-09-12",4536000000
"2010-09-13",4763400000
"2010-09-14",4574300000
"2010-09-15",4607800000
"2010-09-16",4796900000
"2010-09-19",4938100000
"2010-09-20",4971600000
"2010-09-21",4969200000
"2010-09-22",5105700000
"2010-09-23",5165500000
"2010-09-26",5254100000
"2010-09-27",5337900000
"2010-09-28",5345000000
"2010-09-29",5388100000
"2010-09-30",5416800000
"2010-10-03",5340300000
"2010-10-04",5373800000
"2010-10-05",5333100000
"2010-10-06",5476700000
"2010-10-07",5313900000
"2010-10-10",5347400000
"2010-10-11",5270800000
"2010-10-12",5266000000
"2010-10-13",5366600000
"2010-10-14",5431200000
"2010-10-17",5443200000
"2010-10-18",5359400000
"2010-10-19",5290000000
"2010-10-20",5254100000
"2010-10-21",5380900000
"2010-10-24",5471900000
"2010-10-25",5605900000
"2010-10-26",5673000000
"2010-10-27",5608300000
"2010-10-28",5907500000
"2010-10-31",5704100000
"2010-11-01",5763900000
"2010-11-02",5907500000
"2010-11-03",6053600000
"2010-11-04",6072700000
"2010-11-07",6044000000
"2010-11-08",5943500000
"2010-11-09",5890800000
"2010-11-10",5948200000
"2010-11-11",6156500000
"2010-11-14",6024800000
"2010-11-15",5960200000
"2010-11-16",5888400000
"2010-11-17",6000900000
"2010-11-18",6048800000
"2010-11-21",6225900000
"2010-11-22",6218700000
"2010-11-23",6295300000
"2010-11-25",6465300000
"2010-11-28",6443700000
"2010-11-29",6249800000
"2010-11-30",6429400000
"2010-12-01",6800400000
"2010-12-02",6355200000
"2010-12-05",6427000000
"2010-12-06",5950600000
"2010-12-07",6079900000
"2010-12-08",6321600000
"2010-12-09",6319300000
"2010-12-12",6362300000
"2010-12-13",6292900000
"2010-12-14",6378000000
"2010-12-15",6677500000
"2010-12-16",6805600000
"2010-12-19",6718600000
"2010-12-20",6735500000
"2010-12-21",6798300000
"2010-12-22",6795900000
"2010-12-26",6948100000
"2010-12-27",6837000000
"2010-12-28",6916700000
"2010-12-29",6977100000
"2010-12-30",6863500000
"2011-01-02",6716200000
"2011-01-03",6764500000
"2011-01-04",6762100000
"2011-01-05",6890100000
"2011-01-06",6829700000
"2011-01-09",6981900000
"2011-01-10",7064100000
"2011-01-11",6805600000
"2011-01-12",6849100000
"2011-01-13",7008500000
"2011-01-17",6704100000
"2011-01-18",6706500000
"2011-01-19",6692000000
"2011-01-20",6708900000
"2011-01-23",6786200000
"2011-01-24",6766900000
"2011-01-25",6824900000
"2011-01-26",7059200000
"2011-01-27",6776600000
"2011-01-30",6936000000
"2011-01-31",7023000000
"2011-02-01",6957800000
"2011-02-02",7105100000
"2011-02-03",7537600000
"2011-02-06",7438500000
"2011-02-07",7709100000
"2011-02-08",7916900000
"2011-02-09",7846800000
"2011-02-10",8042500000
"2011-02-13",8223700000.000001
"2011-02-14",8144000000
"2011-02-15",8305799999.999999
"2011-02-16",8124600000
"2011-02-17",8177800000
"2011-02-21",7875800000
"2011-02-22",7571400000
"2011-02-23",8209200000.000001
"2011-02-24",8301000000
"2011-02-27",8211600000
"2011-02-28",7747800000
"2011-03-01",7842000000
"2011-03-02",7972400000
"2011-03-03",7921700000
"2011-03-06",7726000000
"2011-03-07",7825100000
"2011-03-08",7489300000
"2011-03-09",7604900000
"2011-03-10",7658800000
"2011-03-13",7602400000
"2011-03-14",7619600000
"2011-03-15",7249300000
"2011-03-16",7190400000
"2011-03-17",7435600000
"2011-03-20",7599900000
"2011-03-21",7531300000
"2011-03-22",7604900000
"2011-03-23",7619600000
"2011-03-24",7565600000
"2011-03-27",7599900000
"2011-03-28",7595000000
"2011-03-29",7722600000
"2011-03-30",7626900000
"2011-03-31",7729900000
"2011-04-03",7504300000
"2011-04-04",7766700000
"2011-04-05",8036500000
"2011-04-06",7962900000
"2011-04-07",7987400000
"2011-04-10",7904000000
"2011-04-11",7693100000
"2011-04-12",7798600000
"2011-04-13",7619600000
"2011-04-14",7783900000
"2011-04-17",7749500000
"2011-04-18",7791200000
"2011-04-19",7985000000
"2011-04-20",7994800000
"2011-04-24",7906500000
"2011-04-25",7933500000
"2011-04-26",8188500000
"2011-04-27",8065900000
"2011-04-28",8205700000.000001
"2011-05-01",8129700000
"2011-05-02",7886900000
"2011-05-03",7980100000
"2011-05-04",8151700000
"2011-05-05",8561299999.999999
"2011-05-08",8696200000
"2011-05-09",8782000000
"2011-05-10",8796700000
"2011-05-11",8598100000
"2011-05-12",8556400000
"2011-05-15",8401900000
"2011-05-16",8404299999.999999
"2011-05-17",8492600000
"2011-05-18",8536799999.999999
"2011-05-19",8433799999.999999
"2011-05-22",7855000000
"2011-05-23",7776500000
"2011-05-24",8460700000.000001
"2011-05-25",8512200000.000001
"2011-05-26",8585799999.999999
"2011-05-30",8286600000
"2011-05-31",8281700000.000001
"2011-06-01",8220400000
"2011-06-02",8311100000
"2011-06-05",8173800000
"2011-06-06",8350400000
"2011-06-07",8193400000
"2011-06-08",8446000000
"2011-06-09",8332500000
"2011-06-12",8258500000
"2011-06-13",8443500000
"2011-06-14",8280700000.000001
"2011-06-15",8233799999.999999
"2011-06-16",8019100000
"2011-06-19",8080800000
"2011-06-20",8406500000
"2011-06-21",8882700000
"2011-06-22",8838300000
"2011-06-23",8764300000
"2011-06-26",8747000000
"2011-06-27",9117100000
"2011-06-28",9304600000
"2011-06-29",9376200000
"2011-06-30",9539000000
"2011-07-04",9613100000
"2011-07-05",9642700000
"2011-07-06",9539000000
"2011-07-07",9366300000
"2011-07-10",9225700000
"2011-07-11",8737100000
"2011-07-12",8729700000
"2011-07-13",8680400000
"2011-07-14",8761800000
"2011-07-17",8636000000
"2011-07-18",8932100000
"2011-07-19",8900000000
"2011-07-20",9070200000
"2011-07-21",9146700000
"2011-07-24",8904900000
"2011-07-25",9045600000
"2011-07-26",8297900000
"2011-07-27",8547100000
"2011-07-28",8297900000
"2011-07-31",8191800000
"2011-08-01",7908100000
"2011-08-02",8088200000
"2011-08-03",7624300000
"2011-08-04",7239400000
"2011-08-07",6708900000
"2011-08-08",7311000000
"2011-08-09",7217200000
"2011-08-10",7577500000
"2011-08-11",7658900000
"2011-08-14",7799500000
"2011-08-15",7641600000
"2011-08-16",7575000000
"2011-08-17",7059300000
"2011-08-18",6980300000
"2011-08-21",6820000000
"2011-08-22",7219700000
"2011-08-23",7962400000
"2011-08-24",7619400000
"2011-08-25",7777300000
"2011-08-28",8105500000
"2011-08-29",8174600000
"2011-08-30",8169600000
"2011-08-31",7787200000
"2011-09-01",7681100000
"2011-09-05",7762500000
"2011-09-06",8068500000
"2011-09-07",8123100000
"2011-09-08",7929200000
"2011-09-11",8231100000
"2011-09-12",8425100000
"2011-09-13",8975000000
"2011-09-14",9019100000
"2011-09-15",8957800000
"2011-09-18",9168900000
"2011-09-19",8916000000
"2011-09-20",8832600000
"2011-09-21",8341600000
"2011-09-22",8542900000
"2011-09-25",8371100000
"2011-09-26",8466799999.999999
"2011-09-27",8103500000
"2011-09-28",8142800000
"2011-09-29",8044600000
"2011-10-02",7828500000
"2011-10-03",7939000000
"2011-10-04",8005300000
"2011-10-05",8088800000
"2011-10-06",8071600000
"2011-10-09",8263000000
"2011-10-10",8182000000
"2011-10-11",8260600000
"2011-10-12",8361200000.000001
"2011-10-13",8763800000
"2011-10-16",8606700000
"2011-10-17",8798200000
"2011-10-18",8501200000.000001
"2011-10-19",8341600000
"2011-10-20",8307200000.000001
"2011-10-23",8677900000
"2011-10-24",8454500000
"2011-10-25",8290000000
"2011-10-26",8287600000
"2011-10-27",8245900000
"2011-10-30",8290000000
"2011-10-31",8101000000
"2011-11-01",8002800000
"2011-11-02",8427500000
"2011-11-03",8439799999.999999
"2011-11-06",8488900000
"2011-11-07",8525700000.000001
"2011-11-08",8157500000
