"Date","Market Cap"
"1998-11-30",191705000000
"1998-12-01",189371200000
"1998-12-02",182536500000
"1998-12-03",193872100000
"1998-12-06",198206300000
"1998-12-07",200206700000
"1998-12-08",198706400000
"1998-12-09",191038200000
"1998-12-10",194038800000
"1998-12-13",186037200000
"1998-12-14",193205300000
"1998-12-15",190204700000
"1998-12-16",194872300000
"1998-12-17",200040000000
"1998-12-20",204540900000
"1998-12-21",198539700000
"1998-12-22",208375000000
"1998-12-23",208375000000
"1998-12-27",203540700000
"1998-12-28",201873700000
"1998-12-29",198706400000
"1998-12-30",197706200000
"1999-01-03",201373600000
"1999-01-04",205541100000
"1999-01-05",215876500000
"1999-01-06",215543100000
"1999-01-07",216209900000
"1999-01-10",233046600000
"1999-01-11",226045200000
"1999-01-12",231713000000
"1999-01-13",223044600000
"1999-01-14",225711800000
"1999-01-18",232379800000
"1999-01-19",230546100000
"1999-01-20",222544500000
"1999-01-21",214876300000
"1999-01-24",217710200000
"1999-01-25",228212300000
"1999-01-26",221377600000
"1999-01-27",228712400000
"1999-01-28",234880300000
"1999-01-31",229879300000
"1999-02-01",224378200000
"1999-02-02",231212900000
"1999-02-03",216876700000
"1999-02-04",212709200000
"1999-02-07",220044000000
"1999-02-08",208875100000
"1999-02-09",214709600000
"1999-02-10",222211100000
"1999-02-11",210875500000
"1999-02-15",210542100000
"1999-02-16",207708200000
"1999-02-17",213542700000
"1999-02-18",213542700000
"1999-02-21",221377600000
"1999-02-22",223878100000
"1999-02-23",217376800000
"1999-02-24",213042600000
"1999-02-25",199873300000
"1999-02-28",195205700000
"1999-03-01",183036600000
"1999-03-02",191204900000
"1999-03-03",189037800000
"1999-03-04",191038200000
"1999-03-07",199373200000
"1999-03-08",192205100000
"1999-03-09",194872300000
"1999-03-10",196872700000
"1999-03-11",197206100000
"1999-03-14",196539300000
"1999-03-15",200706800000
"1999-03-16",200873500000
"1999-03-17",203040600000
"1999-03-18",198373000000
"1999-03-21",191871700000
"1999-03-22",191038200000
"1999-03-23",198873100000
"1999-03-24",196539300000
"1999-03-25",193996200000
"1999-03-28",202141800000
"1999-03-29",202141800000
"1999-03-30",197653400000
"1999-03-31",200978100000
"1999-04-04",211949600000
"1999-04-05",216770400000
"1999-04-06",219596400000
"1999-04-07",217934100000
"1999-04-08",217435400000
"1999-04-11",203637900000
"1999-04-12",201144400000
"1999-04-13",189507900000
"1999-04-14",194295500000
"1999-04-15",190339100000
"1999-04-18",184520900000
"1999-04-19",188045000000
"1999-04-20",194295500000
"1999-04-21",204469000000
"1999-04-22",205300200000
"1999-04-25",214243700000
"1999-04-26",206962600000
"1999-04-27",203438400000
"1999-04-28",202175000000
"1999-04-29",203438400000
"1999-05-02",209888300000
"1999-05-03",205100700000
"1999-05-04",212780800000
"1999-05-05",198451300000
"1999-05-06",202607200000
"1999-05-09",201170300000
"1999-05-10",206744600000
"1999-05-11",207375000000
"1999-05-12",199279100000
"1999-05-13",192444000000
"1999-05-16",197221900000
"1999-05-17",195562900000
"1999-05-18",198051400000
"1999-05-19",191415400000
"1999-05-20",189126000000
"1999-05-23",185608900000
"1999-05-24",175455800000
"1999-05-25",171507400000
"1999-05-26",176285300000
"1999-05-27",179371100000
"1999-05-31",168189400000
"1999-06-01",172336900000
"1999-06-02",167559000000
"1999-06-03",176484400000
"1999-06-06",177313900000
"1999-06-07",171507400000
"1999-06-08",176285300000
"1999-06-09",183750800000
"1999-06-10",180665100000
"1999-06-13",180432800000
"1999-06-14",184779400000
"1999-06-15",198051400000
"1999-06-16",192444000000
"1999-06-17",182290900000
"1999-06-20",188495600000
"1999-06-21",184779400000
"1999-06-22",187666100000
"1999-06-23",182689100000
"1999-06-24",183518600000
"1999-06-27",189126000000
"1999-06-28",196591500000
"1999-06-29",197421000000
"1999-06-30",208635800000
"1999-07-01",210693000000
"1999-07-05",211953800000
"1999-07-06",213612800000
"1999-07-07",218158500000
"1999-07-08",219817500000
"1999-07-11",217129900000
"1999-07-12",216930800000
"1999-07-13",225624000000
"1999-07-14",224595400000
"1999-07-15",222737300000
"1999-07-18",224164100000
"1999-07-19",215470900000
"1999-07-20",217528100000
"1999-07-21",211953800000
"1999-07-22",212982400000
"1999-07-25",208635800000
"1999-07-26",224164100000
"1999-07-27",233288600000
"1999-07-28",230601000000
"1999-07-29",228942000000
"1999-08-01",235893500000
"1999-08-02",241285500000
"1999-08-03",240855500000
"1999-08-04",236323500000
"1999-08-05",236720500000
"1999-08-08",242939500000
"1999-08-09",237349000000
"1999-08-10",251408000000
"1999-08-11",251209500000
"1999-08-12",263813000000
"1999-08-15",259876500000
"1999-08-16",261332000000
"1999-08-17",259678000000
"1999-08-18",256568500000
"1999-08-19",264640000000
"1999-08-22",274365500000
"1999-08-23",277045000000
"1999-08-24",276846500000
"1999-08-25",268146500000
"1999-08-26",274564000000
"1999-08-29",272083000000
"1999-08-30",271884500000
"1999-08-31",276019500000
"1999-09-01",282205500000
"1999-09-02",295437500000
"1999-09-06",289880000000
"1999-09-07",284289500000
"1999-09-08",290277000000
"1999-09-09",289053000000
"1999-09-12",279129000000
"1999-09-13",283859500000
"1999-09-14",274564000000
"1999-09-15",273340000000
"1999-09-16",279956000000
