"Date","Market Cap"
"1998-11-30",10955100000
"1998-12-01",11278100000
"1998-12-02",11433400000
"1998-12-03",12357800000
"1998-12-06",12633900000
"1998-12-07",13035700000
"1998-12-08",12525400000
"1998-12-09",11832700000
"1998-12-10",11832700000
"1998-12-13",11771100000
"1998-12-14",11662600000
"1998-12-15",11556600000
"1998-12-16",13035700000
"1998-12-17",13035700000
"1998-12-20",13496700000
"1998-12-21",12942000000
"1998-12-22",13311800000
"1998-12-23",12880400000
"1998-12-27",12880400000
"1998-12-28",12633900000
"1998-12-29",12633900000
"1998-12-30",12463800000
"1999-01-03",12311000000
"1999-01-04",13311800000
"1999-01-05",14699700000
"1999-01-06",15530400000
"1999-01-07",15685700000
"1999-01-10",16578099999.999998
"1999-01-11",17317700000
"1999-01-12",17677700000
"1999-01-13",17182400000
"1999-01-14",17660400000
"1999-01-18",18078900000
"1999-01-19",18078900000
"1999-01-20",17288900000
"1999-01-21",17459800000
"1999-01-24",17088300000
"1999-01-25",17801600000
"1999-01-26",17707500000
"1999-01-27",18636200000
"1999-01-28",19317200000
"1999-01-31",18668400000
"1999-02-01",17987300000
"1999-02-02",19688700000
"1999-02-03",18730300000
"1999-02-04",17397900000
"1999-02-07",18049200000
"1999-02-08",16298300000
"1999-02-09",16345300000
"1999-02-10",17041300000
"1999-02-11",15973900000
"1999-02-15",16112600000
"1999-02-16",15154100000
"1999-02-17",15463700000
"1999-02-18",15882200000
"1999-02-21",16872900000.000002
"1999-02-22",17412700000
"1999-02-23",17831300000
"1999-02-24",16545900000.000002
"1999-02-25",14272500000
"1999-02-28",14240300000
"1999-03-01",13435400000
"1999-03-02",13034200000
"1999-03-03",13125800000
"1999-03-04",14844500000
"1999-03-07",13868800000
"1999-03-08",13653300000
"1999-03-09",13559200000
"1999-03-10",13373500000
"1999-03-11",12476900000
"1999-03-14",12135200000
"1999-03-15",12645400000
"1999-03-16",13140700000
"1999-03-17",12893000000
"1999-03-18",12506700000
"1999-03-21",13125800000
"1999-03-22",12538900000
"1999-03-23",12878200000
"1999-03-24",11748800000
"1999-03-25",11672100000
"1999-03-28",11716600000
"1999-03-29",11221300000
"1999-03-30",11934600000
"1999-03-31",12212000000
"1999-04-04",12754300000
"1999-04-05",13311600000
"1999-04-06",12427100000
"1999-04-07",11801200000
"1999-04-08",11989000000
"1999-04-11",11205200000
"1999-04-12",10924800000
"1999-04-13",11175200000
"1999-04-14",11691000000
"1999-04-15",11363000000
"1999-04-18",11017400000
"1999-04-19",11080000000
"1999-04-20",10391400000
"1999-04-21",9249600000
"1999-04-22",9485000000
"1999-04-25",9046800000
"1999-04-26",8951700000
"1999-04-27",9610200000
"1999-04-28",9359800000
"1999-04-29",9327200000
"1999-05-02",9515000000
"1999-05-03",9562600000
"1999-05-04",10298800000
"1999-05-05",9625200000
"1999-05-06",9780500000
"1999-05-09",10063400000
"1999-05-10",9843100000
"1999-05-11",10063400000
"1999-05-12",9404900000
"1999-05-13",9249600000
"1999-05-16",9374800000
"1999-05-17",9515000000
"1999-05-18",9798000000
"1999-05-19",9515000000
"1999-05-20",9342300000
"1999-05-23",9061800000
"1999-05-24",8638700000
"1999-05-25",8921600000
"1999-05-26",9702800000
"1999-05-27",9485000000
"1999-05-31",9109400000
"1999-06-01",9702800000
"1999-06-02",9404900000
"1999-06-03",9530100000
"1999-06-06",10015800000
"1999-06-07",9813000000
"1999-06-08",10799600000
"1999-06-09",11518200000
"1999-06-10",10939800000
"1999-06-13",10719400000
"1999-06-14",10829600000
"1999-06-15",11643400000
"1999-06-16",11300400000
"1999-06-17",11267800000
"1999-06-20",11768600000
"1999-06-21",11330400000
"1999-06-22",11002400000
"1999-06-23",9860600000
"1999-06-24",9843100000
"1999-06-27",9577600000
"1999-06-28",9765400000
"1999-06-29",10141000000
"1999-06-30",10799600000
"1999-07-01",10594300000
"1999-07-05",11267800000
"1999-07-06",11080000000
"1999-07-07",12096600000
"1999-07-08",12677500000
"1999-07-11",12817800000
"1999-07-12",13569000000
"1999-07-13",14179900000
"1999-07-14",13849400000
"1999-07-15",14030500000
"1999-07-18",13963800000
"1999-07-19",13164100000
"1999-07-20",13979800000
"1999-07-21",13497300000
"1999-07-22",13630600000
"1999-07-25",13862500000
"1999-07-26",15430100000
"1999-07-27",16461800000
"1999-07-28",16061900000
"1999-07-29",16429800000
"1999-08-01",16328500000
"1999-08-02",16363100000
"1999-08-03",16061900000
"1999-08-04",16363100000
"1999-08-05",17562800000
"1999-08-08",18077300000
"1999-08-09",17362800000
"1999-08-10",18277200000
"1999-08-11",16829700000
"1999-08-12",17077599999.999998
"1999-08-15",16144500000
"1999-08-16",15395400000
"1999-08-17",15995200000
"1999-08-18",16512400000.000002
"1999-08-19",17445500000
"1999-08-22",17061599999.999998
"1999-08-23",18445200000
"1999-08-24",18527800000
"1999-08-25",18594500000
"1999-08-26",18362500000
"1999-08-29",18461200000
"1999-08-30",19962100000
"1999-08-31",19362200000
"1999-09-01",20060700000
"1999-09-02",21361600000
"1999-09-06",21228300000
"1999-09-07",20127300000
"1999-09-08",20162000000
"1999-09-09",19895400000
"1999-09-12",20194000000
"1999-09-13",21828200000
"1999-09-14",20460600000
"1999-09-15",20660500000
"1999-09-16",20162000000
"1999-09-19",21327000000
"1999-09-20",20828500000
"1999-09-21",22244000000
"1999-09-22",21028400000
"1999-09-23",21393600000
"1999-09-26",21295000000
