"Date","Market Cap"
"2000-11-20",47815600000
"2000-11-21",46405000000
"2000-11-23",51108800000
"2000-11-26",49070700000
"2000-11-27",46078300000
"2000-11-28",45777500000
"2000-11-29",42302800000
"2000-11-30",44517300000
"2000-12-03",43407500000
"2000-12-04",47509600000
"2000-12-05",45621900000
"2000-12-06",45295200000
"2000-12-07",49853700000
"2000-12-10",50481300000
"2000-12-11",48593500000
"2000-12-12",47032500000
"2000-12-13",46882100000
"2000-12-14",46882100000
"2000-12-17",44667700000
"2000-12-18",45445600000
"2000-12-19",43106700000
"2000-12-20",41851600000
"2000-12-21",43106700000
"2000-12-25",42629500000
"2000-12-26",43257100000
"2000-12-27",43563000000
"2000-12-28",43407500000
"2001-01-01",44366900000
"2001-01-02",48593500000
"2001-01-03",48593500000
"2001-01-04",50657600000
"2001-01-07",50030100000
"2001-01-08",52846100000
"2001-01-09",55361400000
"2001-01-10",55361400000
"2001-01-11",56320800000
"2001-01-15",54884200000
"2001-01-16",59287200000
"2001-01-17",63539800000
"2001-01-18",63062700000
"2001-01-21",60397000000
"2001-01-22",62761900000
"2001-01-23",62284800000
"2001-01-24",60723800000
"2001-01-25",56144500000
"2001-01-28",54811600000
"2001-01-29",58058100000
"2001-01-30",60749700000
"2001-01-31",60018500000
"2001-02-01",58208500000
"2001-02-04",55335400000
"2001-02-05",51788200000
"2001-02-06",50455300000
"2001-02-07",53022400000
"2001-02-08",51663700000
"2001-02-11",53525500000
"2001-02-12",54733800000
"2001-02-13",56543800000
"2001-02-14",58561200000
"2001-02-15",56066700000
"2001-02-19",53121000000
"2001-02-20",52265300000
"2001-02-21",51964500000
"2001-02-22",50709500000
"2001-02-25",50958400000
"2001-02-26",48743900000
"2001-02-27",47385200000
"2001-02-28",45098100000
"2001-03-01",46804300000
"2001-03-04",47862300000
"2001-03-05",54002600000
"2001-03-06",52441600000
"2001-03-07",49952300000
"2001-03-08",46705800000
"2001-03-11",45347000000
"2001-03-12",49874500000
"2001-03-13",49195100000
"2001-03-14",50403500000
"2001-03-15",49801900000
"2001-03-18",49221000000
"2001-03-19",47561500000
"2001-03-20",47182900000
"2001-03-21",50076800000
"2001-03-22",52721600000
"2001-03-25",51311000000
"2001-03-26",50984300000
"2001-03-27",49247000000
"2001-03-28",49449200000
"2001-03-29",49070700000
"2001-04-01",44164600000
"2001-04-02",42328800000
"2001-04-03",41747900000
"2001-04-04",46301300000
"2001-04-05",44014200000
"2001-04-08",43132600000
"2001-04-09",45777500000
"2001-04-10",49853700000
"2001-04-11",51010200000
"2001-04-15",48365300000
"2001-04-16",47660000000
"2001-04-17",55942200000
"2001-04-18",54811600000
"2001-04-19",52597200000
"2001-04-22",50709500000
"2001-04-23",50833900000
"2001-04-24",51311000000
"2001-04-25",51435500000
"2001-04-26",54858300000
"2001-04-29",60998600000
"2001-04-30",62383300000
"2001-05-01",61807700000
"2001-05-02",59136800000
"2001-05-03",57881800000
"2001-05-06",57249100000
"2001-05-07",57326900000
"2001-05-08",55864400000
"2001-05-09",55864400000
"2001-05-10",54106300000
"2001-05-13",51362900000
"2001-05-14",50657600000
"2001-05-15",51259200000
"2001-05-16",53525500000
"2001-05-17",52218600000
"2001-05-20",53100200000
"2001-05-21",53852200000
"2001-05-22",53224700000
"2001-05-23",53603300000
"2001-05-24",52467500000
"2001-05-28",51637800000
"2001-05-29",49148400000
"2001-05-30",49978200000
"2001-05-31",50050800000
"2001-06-03",49324800000
"2001-06-04",52794300000
"2001-06-05",51715600000
"2001-06-06",56118500000
"2001-06-07",55765900000
"2001-06-10",54308600000
"2001-06-11",53727700000
"2001-06-12",53624000000
"2001-06-13",52597200000
"2001-06-14",53401000000
"2001-06-17",50808000000
"2001-06-18",50180500000
"2001-06-19",48116400000
"2001-06-20",47182900000
"2001-06-21",48318700000
"2001-06-24",49174400000
"2001-06-25",48266800000
"2001-06-26",49288500000
"2001-06-27",51082800000
"2001-06-28",53515100000
"2001-07-01",53375100000
"2001-07-02",53624000000
