"Date","Market Cap"
"1998-11-30",30217700000
"1998-12-01",30705900000
"1998-12-02",31632300000
"1998-12-03",32315400000
"1998-12-06",33410300000.000004
"1998-12-07",33531900000
"1998-12-08",33118600000
"1998-12-09",31899000000
"1998-12-10",31215900000
"1998-12-13",30729300000
"1998-12-14",30560800000
"1998-12-15",30950700000
"1998-12-16",32728700000
"1998-12-17",33823600000
"1998-12-20",34725000000
"1998-12-21",33531900000
"1998-12-22",33435199999.999996
"1998-12-23",33485100000
"1998-12-27",33240300000.000004
"1998-12-28",32752100000
"1998-12-29",34116800000.000004
"1998-12-30",33360400000
"1999-01-03",33971699999.999996
"1999-01-04",34725000000
"1999-01-05",35749700000
"1999-01-06",35676400000
"1999-01-07",36554500000
"1999-01-10",37041100000
"1999-01-11",35969600000
"1999-01-12",36456200000
"1999-01-13",35239700000
"1999-01-14",36116200000
"1999-01-18",36261300000
"1999-01-19",38845600000
"1999-01-20",37480900000
"1999-01-21",36261300000
"1999-01-24",36506100000
"1999-01-25",38260700000
"1999-01-26",37162700000
"1999-01-27",37334300000
"1999-01-28",38553900000
"1999-01-31",37041100000
"1999-02-01",37797500000
"1999-02-02",39614500000
"1999-02-03",37431000000
"1999-02-04",36896000000
"1999-02-07",37139300000
"1999-02-08",33898400000
"1999-02-09",34556600000
"1999-02-10",37064500000
"1999-02-11",36409400000
"1999-02-15",35481500000
"1999-02-16",35434700000
"1999-02-17",35894800000
"1999-02-18",36261300000
"1999-02-21",38630400000
"1999-02-22",39068000000
"1999-02-23",39849400000
"1999-02-24",37603700000
"1999-02-25",34844000000
"1999-02-28",36041000000
"1999-03-01",33793800000.000004
"1999-03-02",35895700000
"1999-03-03",36137900000
"1999-03-04",39302400000
"1999-03-07",41021400000
"1999-03-08",38700800000
"1999-03-09",39849400000
"1999-03-10",38360100000
"1999-03-11",38872700000
"1999-03-14",38849200000
"1999-03-15",40747900000
"1999-03-16",40201000000
"1999-03-17",40865100000
"1999-03-18",39302400000
"1999-03-21",39380500000
"1999-03-22",35650300000
"1999-03-23",36992700000
"1999-03-24",38482000000
"1999-03-25",37627200000
"1999-03-28",39419600000
"1999-03-29",38505400000
"1999-03-30",38774200000
"1999-03-31",40474400000
"1999-04-04",43287300000
"1999-04-05",43521700000
"1999-04-06",44029600000
"1999-04-07",43013900000
"1999-04-08",43209200000
"1999-04-11",41724600000
"1999-04-12",41451100000
"1999-04-13",40708900000
"1999-04-14",42388800000
"1999-04-15",42935700000
"1999-04-18",41021400000
"1999-04-19",39068000000
"1999-04-20",42506000000
"1999-04-21",43052900000
"1999-04-22",42568800000
"1999-04-25",43823200000
"1999-04-26",44803100000
"1999-04-27",43862300000
"1999-04-28",41588900000
"1999-04-29",40021000000
"1999-05-02",42020100000
"1999-05-03",41353700000
"1999-05-04",42294400000
"1999-05-05",41392900000
"1999-05-06",41549700000
"1999-05-09",40922500000
"1999-05-10",42294400000
"1999-05-11",44646300000
"1999-05-12",43901500000
"1999-05-13",41549700000
"1999-05-16",43156800000
"1999-05-17",44724700000
"1999-05-18",46018200000
"1999-05-19",44842300000
"1999-05-20",44293500000
"1999-05-23",42921600000
"1999-05-24",41784900000
"1999-05-25",43352800000
"1999-05-26",41980900000
"1999-05-27",42882400000
"1999-05-31",41784900000
"1999-06-01",43470400000
"1999-06-02",43666400000
"1999-06-03",46606200000
"1999-06-06",47076600000
