Year Ending,TTM,2023-10-29,2022-10-30,2021-10-31,2020-11-01,2019-11-03,2018-11-04,2017-10-29,2016-10-30,2015-11-01,2014-11-02,2013-11-03,2012-10-28,2011-10-30,2010-10-31,2009-11-01,2008-11-02,2007-10-31,2006-10-31
Revenue,42619,35819,33203,27450,23888,22597,20848,17636,13240,6824,4269,2520,2364,2336,2093,1484,1699,1527,1399
Revenue Growth (YoY),21.62%,7.88%,20.96%,14.91%,5.71%,8.39%,18.21%,33.20%,94.02%,59.85%,69.40%,6.60%,1.20%,11.61%,41.04%,-12.65%,11.26%,9.15%,
Cost of Revenue,14897,11129,11108,10606,10372,10114,10115,9127,7300,3271,2392,1322,1222,1189,1127,924,1044,1165,983
Gross Profit,27722,24690,22095,16844,13516,12483,10733,8509,5940,3553,1877,1198,1142,1147,966,560,655,362,416
"Selling, General & Admin",3655,1592,1382,1347,1935,1709,1056,789,806,486,407,222,199,220,196,169,196,193,243
Research & Development,7469,5253,4919,4854,4968,4696,3768,3302,2674,1049,695,398,335,317,280,245,265,205,187
Other Operating Expenses,3454,1638,1569,2124,2599,2634,774,2047,2869,386,337,26,26,26,24,98,34,69,80
Operating Expenses,14578,8483,7870,8325,9502,9039,5598,6138,6349,1921,1439,646,560,563,500,512,495,467,510
Operating Income,13144,16207,14225,8519,4014,3444,5135,2371,-409,1632,438,552,582,584,466,48,160,-105,-94
Interest Expense / Income,2784,1622,1737,1885,1777,1444,628,454,585,191,110,2,1,4,34,77,86,109,143
Other Expense / Income,-579,-512,54,-131,-205,-214,332,190,103,1,32,-18,-4,19,26,7,-12,-63,-13
Pretax Income,10939,15097,12434,6765,2442,2214,4175,1727,-1097,1440,296,568,585,561,406,-36,86,-151,-224
Income Tax,666,1015,939,29,-518,-510,-8084,35,642,76,33,16,22,9,-9,8,3,8,3
Preferred Dividends,0,0,272,299,297,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income,10273,14082,11495,6736,2960,2724,12259,1692,-1739,1364,263,552,563,552,415,-44,83,-159,-227
Net Income Common,10273,14082,11223,6437,2663,2695,12259,1692,-1739,1364,263,552,563,552,415,-44,83,-159,-227
Net Income Growth,-24.27%,25.47%,74.35%,141.72%,-1.19%,-78.02%,624.53%,,,418.63%,-52.36%,-1.95%,1.99%,33.01%,,,,,
Shares Outstanding (Basic),4650,4150,4090,4100,4020,3980,4180,4050,3660,2640,2510,2470,2450,2450,2380,2190,2140,2140,2130
Shares Outstanding (Diluted),4800,4270,4230,4290,4210,4190,4310,4210,3830,2810,2670,2520,2500,2520,2460,2190,2190,2140,2130
Shares Change,12.41%,0.95%,-1.40%,1.90%,0.48%,-2.78%,2.38%,9.92%,36.30%,5.24%,5.95%,0.80%,-0.79%,2.44%,12.33%,0.00%,2.34%,0.47%,
EPS (Basic),2.40,3.39,2.74,1.57,0.66,0.68,2.93,0.42,-0.47,0.52,0.11,0.22,0.23,0.23,0.17,-0.02,0.04,-0.07,-0.11
EPS (Diluted),2.33,3.30,2.65,1.50,0.63,0.64,2.84,0.40,-0.49,0.49,0.10,0.22,0.23,0.22,0.17,-0.02,0.04,-0.07,-0.11
EPS Growth,-27.18%,24.31%,76.87%,136.97%,-1.56%,-77.39%,607.46%,,,389.90%,-54.79%,-2.67%,2.74%,29.59%,,,,,
Free Cash Flow Per Share,3.97,4.25,3.99,3.25,2.89,2.35,2.03,1.46,0.74,0.70,0.31,0.20,0.18,0.25,0.18,0.04,0.07,0.05,0.15
Dividend Per Share,1.97,1.84,1.64,1.44,1.30,1.06,0.70,0.41,0.19,0.16,0.11,0.08,0.06,0.04,0.00,0.00,0.00,0.00,0.00
Dividend Growth,13.22%,12.20%,13.89%,10.77%,22.64%,51.43%,71.57%,110.31%,25.16%,37.17%,41.25%,42.86%,60.00%,,,,,,
Gross Margin,65.05%,68.93%,66.55%,61.36%,56.58%,55.24%,51.48%,48.25%,44.86%,52.07%,43.97%,47.54%,48.31%,49.10%,46.15%,37.74%,38.55%,23.71%,29.74%
Operating Margin,30.84%,45.25%,42.84%,31.03%,16.80%,15.24%,24.63%,13.44%,-3.09%,23.92%,10.26%,21.90%,24.62%,25.00%,22.26%,3.23%,9.42%,-6.88%,-6.72%
Profit Margin,24.10%,39.31%,33.80%,23.45%,11.15%,11.93%,58.80%,9.59%,-13.13%,19.99%,6.16%,21.90%,23.82%,23.63%,19.83%,-2.96%,4.89%,-10.41%,-16.23%
Free Cash Flow Margin,43.32%,49.23%,49.13%,48.53%,48.55%,41.39%,40.69%,33.58%,20.34%,26.89%,17.94%,19.29%,19.12%,26.28%,20.69%,5.53%,8.71%,7.14%,22.30%
Effective Tax Rate,6.09%,6.72%,7.55%,0.43%,-21.21%,-23.04%,-193.63%,2.03%,,5.28%,11.15%,2.82%,3.76%,1.60%,-2.22%,,3.49%,,
EBITDA,20462,20554,19155,14691,11124,9466,8884,6918,2530,2593,1031,757,741,722,599,201,331,134,129
EBITDA Margin,48.01%,57.38%,57.69%,53.52%,46.57%,41.89%,42.61%,39.23%,19.11%,38.00%,24.15%,30.04%,31.35%,30.91%,28.62%,13.54%,19.48%,8.78%,9.22%
Depreciation & Amortization,6739,3835,4984,6041,6905,5808,4081,4737,3042,962,625,187,155,157,159,160,159,176,210
EBIT,13723,16719,14171,8650,4219,3658,4803,2181,-512,1631,406,570,586,565,440,41,172,-42,-81
EBIT Margin,32.20%,46.68%,42.68%,31.51%,17.66%,16.19%,23.04%,12.37%,-3.87%,23.90%,9.51%,22.62%,24.79%,24.19%,21.02%,2.76%,10.12%,-2.75%,-5.79%
