Date,Open,High,Low,Close,% Change,Volume
7/2024,30.91,37.16,30.59,32.95,0.0639,899887023
6/2024,31.03,31.48,29.94,30.97,0.0039000000000000003,753487744
5/2024,30.17,32.42,29.73,30.85,0.0125,1024249698
4/2024,44.29,45.41,30.42,30.47,-0.3102,1256392628
3/2024,43.41,46.63,40.57,44.17,0.026000000000000002,947651241
2/2024,43.15,45.27,41.60,43.05,-0.0007000000000000001,815860611
1/2024,49.20,50.30,42.36,43.08,-0.1427,1001389200
12/2023,44.36,51.28,41.17,50.25,0.1242,828582180
11/2023,36.50,45.34,36.28,44.70,0.22469999999999998,807966158
10/2023,35.61,37.22,32.15,36.50,0.026699999999999998,795494542
9/2023,35.79,40.07,33.64,35.55,0.011699999999999999,841416372
8/2023,35.82,36.02,32.02,35.14,-0.0176,716172370
7/2023,33.54,37.19,31.38,35.77,0.0697,791861471
6/2023,31.80,37.11,29.70,33.44,0.0636,1065522382
5/2023,31.11,32.29,26.86,31.44,0.012199999999999999,967768584
4/2023,32.94,33.84,28.51,31.06,-0.0493,728454261
3/2023,25.03,32.90,24.97,32.67,0.3105,1193689535
2/2023,27.89,31.17,24.73,24.93,-0.11779999999999999,880351327
1/2023,27.05,30.49,26.37,28.26,0.0692,840843151
12/2022,30.24,30.48,25.35,26.43,-0.1211,758549634
11/2022,28.80,31.34,27.17,30.07,0.057699999999999994,788939892
10/2022,26.33,29.22,24.59,28.43,0.1032,981086384
9/2022,31.57,32.38,25.74,25.77,-0.19269999999999998,888333621
8/2022,36.05,37.69,31.77,31.92,-0.1209,899196933
7/2022,37.09,40.73,35.24,36.31,-0.0294,792971401
6/2022,44.77,44.93,36.60,37.41,-0.1578,783410262
5/2022,43.72,46.64,40.31,44.42,0.019,773074449
4/2022,49.83,49.90,43.50,43.59,-0.12050000000000001,639104164
3/2022,47.54,52.51,44.07,49.56,0.039,847764218
2/2022,48.78,49.97,43.63,47.70,-0.0229,756444446
1/2022,51.65,56.28,46.30,48.82,-0.052000000000000005,888939821
12/2021,49.84,55.00,48.33,51.50,0.0467,714225962
11/2021,49.40,51.99,48.12,49.20,0.0040999999999999995,616336273
10/2021,53.65,56.07,47.87,49.00,-0.0803,672041877
9/2021,54.11,55.49,52.32,53.28,-0.0144,413373937
8/2021,53.99,54.87,51.42,54.06,0.0063,402316935
7/2021,56.13,57.46,52.31,53.72,-0.0431,516848056
6/2021,57.61,58.42,55.10,56.14,-0.0172,511506974
5/2021,57.86,58.01,53.42,57.12,-0.0070999999999999995,495389646
4/2021,64.73,68.49,57.07,57.53,-0.1011,654975049
3/2021,61.72,67.44,57.91,64.00,0.053,770829377
2/2021,55.95,63.54,55.71,60.78,0.0949,509851966
1/2021,49.89,63.95,49.33,55.51,0.1142,963145166
12/2020,48.75,52.65,45.24,49.82,0.0304,883642951
11/2020,44.96,48.50,44.24,48.35,0.0919,676127972
10/2020,52.40,56.23,43.61,44.28,-0.1448,738468254
9/2020,50.91,52.68,48.42,51.78,0.0163,680632919
8/2020,48.27,51.50,47.70,50.95,0.0675,667012794
7/2020,59.91,61.93,46.97,47.73,-0.2022,807933301
6/2020,62.49,65.11,56.76,59.83,-0.0493,570572322
5/2020,58.83,64.14,56.10,62.93,0.0492,409267014
4/2020,52.50,62.13,51.22,59.98,0.10830000000000001,617700468
3/2020,55.79,59.02,43.63,54.12,-0.0252,961068384
2/2020,64.46,68.09,53.60,55.52,-0.1316,441561383
1/2020,60.24,69.29,58.52,63.93,0.0682,533822052
12/2019,58.55,60.48,55.75,59.85,0.031,420756447
11/2019,55.94,59.13,55.62,58.05,0.0269,319928305
