Year Ending,TTM,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31
Revenue,2245747,2161736,2263891,1587415,1339255,1069985,1031474,977447,947938,843497,762807,597024,506745,427081,419538,295742,333158,322631,317407,266565,257213,202997,162301,125885,166198
Revenue Growth (YoY),-1.56%,-4.51%,42.61%,18.53%,25.17%,3.73%,5.53%,3.11%,12.38%,10.58%,27.77%,17.82%,18.65%,1.80%,41.86%,-11.23%,3.26%,1.65%,19.07%,3.64%,26.71%,25.07%,28.93%,-24.26%,
Cost of Revenue,1042632,986625,915537,767878,628125,577284,533488,482616,473077,433118,385113,315643,262593,232937,212484,166414,191408,180280,161597,148362,141393,128113,109988,92228,87610
Gross Profit,1203115,1175111,1348355,819537,711130,492702,497986,494831,474861,410380,377694,281382,244153,194143,207054,129329,141750,142350,155810,118203,115819,74884,52313,33657,78588
"Selling, General & Admin",74560,71464,63445,44488,35570,28086,26254,27169,25696,22922,24021,23387,22129,18682,18172,15773,15833,12682,12469,13218,14821,10870,8999,10586,10090
Research & Development,189322,182370,163262,124735,109486,91419,85896,80733,71208,65545,56829,47952,40387,33830,29707,21593,21481,17946,16076,14017,12516,12713,11725,10294,7204
Other Operating Expenses,-12,-189,368,333,-710,496,2102,1366,-30,1881,1002,-47,449,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,263870,253645,227076,169556,144346,120001,114251,109267,96874,90347,81852,71292,62966,52512,47878,37367,37314,30628,28545,27234,27338,23583,20724,20879,17293
Operating Income,939246,921466,1121279,649981,566784,372701,383735,385564,377987,320033,295842,210090,181187,141631,159175,91962,104435,111722,127265,90969,88482,51301,31589,12778,61295
Interest Expense / Income,11734,11999,11750,5414,2082,3251,3051,3330,3306,3190,3236,2647,1020,627,425,392,615,842,891,1413,1366,2779,3711,4631,4397
Other Expense / Income,-75011,-70563,-34172,-17948,-19780,-20333,-16805,-13888,-11157,-33653,-9586,-8646,-1689,-3891,-10844,-3644,-7062,-10007,-8409,-4650,-4837,-2660,631,-2595,-7040
Pretax Income,1002523,980029,1143701,662515,584482,389783,397490,396121,385838,350496,302191,216089,181856,144896,169594,95214,110882,120887,134783,94206,91953,51182,27247,10743,63938
Income Tax,132285,128289,150778,70155,73738,35835,34437,51123,54124,47645,47890,32112,22375,10694,7989,5996,10949,11710,7774,631,-363,3923,5637,-3741,-1168
Net Income,870238,851740,992923,592359,510744,353948,363053,344998,331714,302851,254301,183978,159481,134201,161605,89218,99933,109177,127010,93575,92316,47259,21610,14483,65106
Net Income Growth,-12.73%,-14.22%,67.62%,15.98%,44.30%,-2.51%,5.23%,4.00%,9.53%,19.09%,38.22%,15.36%,18.84%,-16.96%,81.14%,-10.72%,-8.47%,-14.04%,35.73%,1.36%,95.34%,118.69%,49.21%,-77.75%,
Shares Outstanding (Basic),25932,25932,25930,25930,25930,25930,25930,25930,25930,25930,25929,25924,25921,25914,25906,25836,26039,27005,27031,26481,25934,25668,25352,25112,24306
Shares Outstanding (Diluted),,,,,,,,,,,,,25928,25925,25920,25912,26235,27026,27055,26492,25939,25678,25352,25112,24306
Shares Change,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,-0.01%,0.01%,0.02%,0.03%,-1.23%,-2.93%,-0.11%,2.13%,2.13%,1.02%,1.29%,0.96%,3.31%,
EPS (Basic),167.85,164.25,191.45,114.20,98.50,68.25,70.00,66.50,63.95,58.40,49.05,35.50,30.75,25.90,31.20,17.25,19.20,20.20,23.48,17.66,17.81,9.18,4.19,2.78,13.38
EPS (Diluted),167.85,164.25,191.45,114.20,98.50,68.25,70.00,66.50,63.95,58.40,49.05,35.50,30.75,25.90,31.15,17.20,21.15,22.35,24.88,17.76,17.81,9.18,4.19,2.78,13.38
