Year Ending,TTM,2023-10-29,2022-10-30,2021-10-31,2020-10-25,2019-10-27,2018-10-28,2017-10-29,2016-10-30,2015-10-25,2014-10-26,2013-10-27,2012-10-28,2011-10-30,2010-10-31,2009-10-25,2008-10-26,2007-10-28,2006-10-29,2005-10-30,2004-10-31,2003-10-26,2002-10-27,2001-10-28,2000-10-29,1999-10-31,1998-10-25,1997-10-26,1996-10-27,1995-10-27,1994-10-27
Revenue,26501,26517,25785,23063,17202,14608,16705,14698,10825,9659,9072,7509,8719,10517,9549,5014,8129,9735,9167,6992,8013,4477,5062,7343,9564,5096,4330,4074,4145,3062,1660
Revenue Growth (YoY),-0.51%,2.84%,11.80%,34.07%,17.76%,-12.55%,13.65%,35.78%,12.07%,6.47%,20.82%,-13.88%,-17.10%,10.14%,90.45%,-38.32%,-16.49%,6.19%,31.11%,-12.74%,78.97%,-11.56%,-31.06%,-23.22%,87.67%,17.70%,6.28%,-1.70%,35.37%,84.47%,
Cost of Revenue,13999,14133,13792,12149,9510,8222,9188,8086,6314,5707,5229,4518,5406,6157,5834,3583,4686,5242,4875,3906,4312,2873,3006,4091,4709,2677,2314,2173,2195,1652,892
Gross Profit,12502,12384,11993,10914,7692,6386,7517,6612,4511,3952,3843,2991,3313,4360,3715,1431,3443,4492,4292,3086,3701,1604,2057,3252,4856,2419,2016,1901,1950,1410,768
"Selling, General & Admin",1755,1628,1438,1229,1093,982,1004,895,819,897,925,891,1076,901,942,735,965,952,907,697,752,626,709,902,961,695,626,567,540,386,240
Research & Development,3095,3102,2771,2485,2234,2054,2022,1781,1540,1451,1428,1320,1237,1118,1143,934,1104,1142,1152,941,992,921,1052,1199,1108,740,697,568,481,330,189
Other Operating Expenses,0,0,-4,311,0,0,0,0,0,0,0,348,589,-57,246,156,18,26,212,0,194,372,85,221,-28,21,241,7,25,0,0
Operating Expenses,4850,4730,4205,4025,3327,3036,3026,2676,2359,2348,2353,2559,2902,1962,2331,1825,2087,2121,2271,1638,1938,1918,1847,2322,2041,1456,1564,1141,1046,716,429
Operating Income,7652,7654,7788,6889,4365,3350,4491,3936,2152,1604,1490,432,411,2398,1384,-394,1355,2372,2021,1448,1764,-314,210,930,2815,963,452,760,904,694,339
Interest Expense / Income,236,238,228,236,240,237,234,198,155,103,95,95,95,59,21,21,21,39,36,38,53,47,49,48,51,48,46,21,21,21,16
