Year Ending,TTM,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31
Revenue,25443,27559,21173,18611,13979,11820,10944,8963,6875,6287,5856,5245,4732,5651,4508,1596,2954,3768,3582,2529,2465,1543,1959,1589,2673
Revenue Growth (YoY),-1.60%,30.16%,13.77%,33.14%,18.26%,8.00%,22.11%,30.36%,9.35%,7.36%,11.65%,10.86%,-16.27%,25.36%,182.43%,-45.96%,-21.62%,5.20%,41.63%,2.58%,59.81%,-21.24%,23.25%,-40.54%,
Cost of Revenue,12355,13422,10473,8802,7181,6540,5915,4943,3730,3392,3260,3068,2726,3202,2553,1211,1938,2219,2128,1555,1560,1174,1491,1558,1572
Gross Profit,13088,14136,10700,9809,6797,5280,5029,4020,3145,2896,2596,2177,2005,2449,1955,385,1016,1550,1454,974,906,369,468,31,1101
"Selling, General & Admin",1122,1113,946,726,545,521,488,417,375,346,321,312,259,218,181,157,210,226,205,201,202,213,263,246,257
Research & Development,4165,3981,3254,2547,2201,1969,1576,1260,1106,1068,1074,882,589,590,523,305,516,486,414,348,353,306,324,347,327
Other Operating Expenses,0,0,0,-214,0,0,0,-96,-94,-83,-81,-64,0,0,0,0,0,23,-27,-24,-28,5,-26,28,-25
Operating Expenses,5287,5094,4199,3059,2746,2489,2064,1581,1387,1331,1314,1129,848,808,704,461,726,735,591,525,527,524,562,622,559
Operating Income,7800,9042,6501,6750,4052,2791,2965,2440,1759,1565,1282,1048,1157,1641,1251,-76,289,815,863,449,379,-155,-94,-591,542
Interest Expense / Income,-27,-41,45,45,35,25,28,50,-34,17,9,24,6,-7,23,8,52,45,50,53,44,55,60,49,49
Other Expense / Income,-161,-191,-138,-199,-89,-18,-6,17,,,,,,,-15,,-72,-78,-50,-38,-28,34,160,58,-53
Pretax Income,7988,9275,6594,6905,4105,2784,2943,2373,1792,1549,1274,1023,1151,1649,1243,-84,310,848,862,435,363,-243,-314,-697,546
Income Tax,1245,1436,970,1021,552,192,352,306,234,161,77,8,4,182,221,-2,-13,177,243,124,127,-83,-107,-218,168
Net Income,6743,7839,5624,5883,3554,2592,2592,2067,1558,1387,1197,1015,1146,1467,1022,-81,322,671,619,311,235,-160,-208,-479,378
Net Income Growth,-9.07%,39.38%,-4.40%,65.55%,37.09%,0.03%,25.40%,32.67%,12.30%,15.92%,17.84%,-11.41%,-21.86%,43.56%,,,-51.96%,8.48%,98.59%,32.28%,,,,,
Shares Outstanding (Basic),393,394,398,410,418,421,425,430,426,431,437,430,424,426,435,433,432,462,475,484,430,429,424,414,411
Shares Outstanding (Diluted),394,394,398,410,419,422,426,432,428,433,440,433,427,429,439,433,434,486,504,543,431,429,424,414,429
Shares Change,-0.13%,-0.98%,-3.02%,-2.08%,-0.59%,-1.13%,-1.20%,0.91%,-1.13%,-1.61%,1.44%,1.51%,-0.48%,-2.26%,1.47%,-0.37%,-10.59%,-3.64%,-7.18%,26.04%,0.50%,1.13%,2.36%,-3.57%,
EPS (Basic),17.13,19.91,14.14,14.36,8.49,6.16,6.10,4.81,3.66,3.22,2.74,2.36,2.70,3.45,2.35,-0.19,0.75,1.45,1.30,0.64,0.55,-0.37,-0.49,-1.16,0.92
EPS (Diluted),17.12,19.89,14.13,14.34,8.48,6.15,6.08,4.79,3.64,3.21,2.72,2.34,2.68,3.42,2.33,-0.19,0.74,1.41,1.26,0.64,0.55,-0.37,-0.49,-1.16,0.88
